acronimo,nombre_empresa
BMA.N,BANCO MACRO
TGS.N,TGS 
PAM.N,PAMPA ENERGIA
PZE.N,PETROBRAS ENERGIA
GLOB.N,GLOBANT
IRS.N,IRSA
GGAL.OQ,G. FINAN. GALICIA
CRESY.O,CRESUD
BFR.N,BBVA BCO FRANCES
BG.N,BUNGE LTD
TS.N,TENARIS
EDN.N,EDENOR
YPF.N,YPF
TX.N,TERNIUM
SUPV.N,GRUPO SUPERVIELLE
TEO.N,TELECOM
NTL.N,NORTEL INVERSORA
ALP.BA,ALPARGATAS
SAM.BA,ALTO PALERMO
RIO.BA,B SANTANDER RIO
BHI.BA,BCO HIPOTECARIO
BPAT.BA,BCO PATAGONIA
STD.BA,BCO. SANTANDER
BOL.BA,BOLDT
BOG.BA,BOLDT GAMING
CAMb.BA,CAMUZZI
CPS.BA,CAPEX
CAU.BA,CAPUTO
CAO.BA,CARLOS CASADO
COL.BA,COLORIN
OEST.BA,CON DEL OESTE
DYC.BA,DYCASA
EST.BA,ESTRADA
FER.BA,FERRUM
FIP.BA,FIPLASTO
GAL.BA,GALICIA B
GAR.BA,GAROVAGLIO
ECO.BA,GAS CUYANA SA
GBA.BA,GAS NATURAL
SUPV.BA,GPO SUPERVIELLE
GRM.BA,GRIMOLDI
CLA.BA,GRUPO CLARIN
PAT.BA,I Y E DE LA PATA
INU.BA,INDUPA
ROS.BA,INST ROSEMBUSCH
INT.BA,INTA
INVJ.BA,INV. JURAMENTO
IRS.BA,IRSA
LED.BA,LEDESMA
LON.BA,LONGVIE
MET.BA,METROGAS
SEI.BA,MOLI JUAN SEMINO
MOL.BA,MOLINOS
MOR.BA,MORIXE
PEK.BA,PERTRAK
POL.BA,POLLEDO
QUI.BA,QUICKFOOD
REP.BA,REPSOL
RIG.BA,RIGOLLEAU
SAL.BA,SAN LORENZO
SOC.BA,SOCOTHERM
TEF.BA,TELEFONICA S.A.
TGLT.BA,TGLT