periodo,mora
dic-12,2.05
ene-13,2.22
feb-13,2.4
mar-13,2.83
abr-13,3.28
may-13,3.47
jun-13,3.46
jul-13,3.48
ago-13,3.48
sep-13,3.36
oct-13,3.31
nov-13,3.62
dic-13,3.66
ene-14,3.59
feb-14,4.07
mar-14,4.44
abr-14,4.36
may-14,4.61
jun-14,4.89
jul-14,4.68
ago-14,4.75
sep-14,4.37
oct-14,4.31
nov-14,4.45
dic-14,4.37
ene-15,4.42
feb-15,4.3
mar-15,4.1
abr-15,4.08
may-15,4.01
jun-15,3.59
jul-15,3.39
ago-15,3.04
sep-15,2.75
oct-15,2.59
nov-15,2.38
dic-15,2.4
ene-16,2.31
feb-16,2.1
mar-16,2.21
abr-16,2.4
may-16,2.36
jun-16,2.43
jul-16,2.37
ago-16,2.18
sep-16,1.67
oct-16,1.65
nov-16,1.7
dic-16,1.79
ene-17,1.79
feb-17,1.88
mar-17,2.04
abr-17,2.1
may-17,2.18
jun-17,2.47
jul-17,2.41
ago-17,2.33
sep-17,2.33
oct-17,2.28
nov-17,2.29
dic-17,2.32